benchmark,variant,run,success,planning_time,roadmap_nodes,path_points,path_length,point_checks,line_checks,error_type
Giant Square,VisibilityPRM,23,1,0.21476229999097995,9,8,42.59457140618085,10579,398,
Giant Square,VisibilityPRM,24,1,0.17549100000178441,9,7,42.14826600062142,8546,441,
Giant Square,VisibilityPRM,25,1,0.19740099998307414,9,6,39.825148718273205,9142,439,
Giant Square,VisibilityPRM,26,1,0.18233340000733733,9,7,42.27455556327934,9056,401,
Giant Square,VisibilityPRM,27,1,0.18223979999311268,9,7,43.74520667090339,8949,438,
Giant Square,VisibilityPRM,28,1,0.15894389999448322,7,6,42.076404055280086,7719,291,
Giant Square,VisibilityPRM,29,1,0.2061593999969773,9,6,41.04981197423788,9761,473,
Giant Square,VisibilityPRM,30,1,0.19194959997548722,9,8,44.43882575262212,9324,402,
Giant Square,VisibilityPRM,31,1,0.20489609998185188,9,7,40.207293852977095,9651,427,
Giant Square,VisibilityPRM,32,1,0.2664352000283543,9,7,43.223926733866016,8593,382,
Giant Square,VisibilityPRM,33,1,0.38051490002544597,9,7,41.568009515393776,9332,492,
Giant Square,VisibilityPRM,34,1,0.33503570000175387,9,7,45.1389763728053,8490,367,
Giant Square,VisibilityPRM,35,1,0.31695889998809434,7,5,43.14873483110298,8054,262,
Giant Square,VisibilityPRM,36,1,0.26071040000533685,7,5,39.06418723065894,8439,278,
Giant Square,VisibilityPRM,37,1,0.22305349999805912,9,7,40.09008764530945,9514,486,
Giant Square,VisibilityPRM,38,1,0.2398795000044629,9,6,39.49680695046711,8933,428,
Giant Square,VisibilityPRM,39,1,0.23003390000667423,9,6,43.16591395230217,8448,448,
Giant Square,VisibilityPRM,40,1,0.1938578000117559,9,7,41.95623612846566,8408,424,
Giant Square,VisibilityPRM,41,1,0.1905131999810692,9,6,41.68407536921645,9236,437,
Giant Square,VisibilityPRM,42,1,0.25205549999373034,9,6,40.883702585191955,9589,404,
Giant Square,VisibilityPRM,43,1,0.20057459999225102,9,7,44.75305966251597,8818,377,
Giant Square,VisibilityPRM,44,1,0.20986030000494793,9,7,41.28974799635438,8914,428,
Giant Square,VisibilityPRM,45,1,0.21180389999062754,9,6,42.56129470103916,8896,401,
Giant Square,VisibilityPRM,46,1,0.18980560000636615,9,7,44.520164630942176,8773,353,
Giant Square,VisibilityPRM,47,1,0.18638410000130534,9,7,41.74213790169785,9052,423,
Giant Square,VisibilityPRM,48,1,0.18069730000570416,7,6,42.03488928128725,7637,330,
Giant Square,VisibilityPRM,49,1,0.1948092000093311,9,8,42.96165623808267,8326,387,
Giant Square,RRT,0,1,0.1312348000064958,91,12,42.41490269427108,4361,151,
Giant Square,RRT,1,1,0.013507199997548014,11,7,40.24185629978205,452,12,
Giant Square,RRT,2,1,0.013300699996761978,11,5,40.40016797491985,464,13,
Giant Square,RRT,3,1,0.030533799988916144,21,7,40.73961438567257,996,34,
Giant Square,RRT,4,1,0.016657200001645833,11,3,40.54399369542823,451,12,
Giant Square,RRT,5,1,0.014994600001955405,11,6,41.16023443209176,439,11,
Giant Square,RRT,6,1,0.012261900003068149,11,6,42.16942266753683,466,13,
Giant Square,RRT,7,1,0.012966399983270094,11,8,39.71941861970196,499,18,
Giant Square,RRT,8,1,0.010799999989103526,11,6,42.42844266601787,448,10,
Giant Square,RRT,9,1,0.011586900014663115,11,6,43.57862672614932,464,14,
Giant Square,RRT,10,1,0.03940189999411814,31,6,41.65548440016976,1479,56,
Giant Square,RRT,11,1,0.011783699999796227,11,4,41.02423567047256,449,10,
Giant Square,RRT,12,1,0.024967700010165572,21,10,39.719059691637526,939,28,
Giant Square,RRT,13,1,0.027437300013843924,21,8,42.32160778138629,993,45,
Giant Square,RRT,14,1,0.013154499989468604,11,6,40.82531786358261,483,14,
Giant Square,RRT,15,1,0.013708699989365414,11,4,40.95008489650643,459,13,
Giant Square,RRT,16,1,0.028238300001248717,21,8,42.913601939459234,975,31,
Giant Square,RRT,17,1,0.02386699998169206,21,9,43.137268475320674,929,30,
Giant Square,RRT,18,1,0.030196899984730408,21,8,42.99939192498607,961,28,
Giant Square,RRT,19,1,0.032113300025230274,21,7,42.93078133789012,1145,46,
Giant Square,RRT,20,1,0.02323729998897761,21,11,42.44673870884483,969,34,
Giant Square,RRT,21,1,0.02210850000847131,21,8,42.076141268285234,980,34,
Giant Square,RRT,22,1,0.011679699993692338,11,7,41.71428486754898,500,15,
Giant Square,RRT,23,1,0.020996199978981167,21,9,41.28877993041474,920,24,
Giant Square,RRT,24,1,0.02370700001483783,21,8,41.153248467262685,1027,38,
Giant Square,RRT,25,1,0.010106799978530034,11,7,40.62765335100877,465,12,
Giant Square,RRT,26,1,0.04069069999968633,41,6,41.62211394680448,1901,63,
Giant Square,RRT,27,1,0.02035109998541884,21,7,42.90493385285905,930,30,
Giant Square,RRT,28,1,0.01023049998912029,11,5,41.75835121979415,477,12,
Giant Square,RRT,29,1,0.0201080999977421,21,6,42.8938645701234,920,27,
Giant Square,RRT,30,1,0.021526800002902746,21,9,44.5014912946787,952,35,
Giant Square,RRT,31,1,0.009236000012606382,11,6,39.66210158577739,453,11,
Giant Square,RRT,32,1,0.03523690000292845,31,6,41.888132772551316,1498,46,
Giant Square,RRT,33,1,0.023073899996234104,21,8,40.470638891951985,1025,33,
Giant Square,RRT,34,1,0.01220840000314638,11,7,42.876638144759326,538,17,
Giant Square,RRT,35,1,0.009326400002464652,11,4,42.1918784465692,431,10,
Giant Square,RRT,36,1,0.009859299985691905,11,5,39.17612376043147,424,10,
Giant Square,RRT,37,1,0.01035189998219721,11,5,40.30963995525344,441,11,
Giant Square,RRT,38,1,0.011895099974935874,11,5,39.36654618299309,482,14,
Giant Square,RRT,39,1,0.011022499995306134,11,6,43.187334656688236,453,13,
Giant Square,RRT,40,1,0.012494499998865649,11,6,39.23357099389164,492,17,
Giant Square,RRT,41,1,0.014627399999881163,11,7,40.589070605564046,565,24,
Giant Square,RRT,42,1,0.015808199997991323,11,7,41.971853444100184,608,22,
Giant Square,RRT,43,1,0.028756699990481138,21,6,40.44125942337076,1071,52,
Giant Square,RRT,44,1,0.011069600004702806,11,6,42.74244548555331,453,12,
Giant Square,RRT,45,1,0.011790500022470951,11,4,39.472275010942994,489,15,
Giant Square,RRT,46,1,0.027658900013193488,21,7,41.588770706715714,938,26,
Giant Square,RRT,47,1,0.03809809999074787,31,6,41.25615900012487,1492,51,
Giant Square,RRT,48,1,0.014242200006265193,11,5,39.26090319025827,575,18,
Giant Square,RRT,49,1,0.011911899986444041,11,5,41.3453659085238,484,15,
Fat bottleneck,LazyPRM,0,1,0.469083399977535,1227,12,29.375635986515228,1541,31,
Fat bottleneck,LazyPRM,1,1,0.4978592999977991,1089,13,26.53712531040016,2058,41,
Fat bottleneck,LazyPRM,2,1,0.12341500000911765,423,8,26.266047716872293,949,22,
Fat bottleneck,LazyPRM,3,1,0.35177999999723397,850,9,26.907364402738377,1383,35,
Fat bottleneck,LazyPRM,4,1,0.040099100006045774,60,6,27.762726941881564,902,38,
Fat bottleneck,LazyPRM,5,1,0.06681550000212155,195,7,29.38904321323509,1042,33,
Fat bottleneck,LazyPRM,6,1,0.6540150000073481,1373,12,30.20207176354019,1578,27,
Fat bottleneck,LazyPRM,7,1,0.10879090000526048,334,9,27.49710470929672,1130,31,
Fat bottleneck,LazyPRM,8,1,0.13927529999637045,443,9,32.66654462595479,1353,37,
Fat bottleneck,LazyPRM,9,1,0.006149799999548122,12,4,32.52713653946758,152,4,
Fat bottleneck,LazyPRM,10,1,0.15108579999650829,533,9,31.74625394570489,1109,33,
Fat bottleneck,LazyPRM,11,1,0.08964859999832697,270,8,34.275825728533654,1221,38,
Fat bottleneck,LazyPRM,12,1,0.12048300000606105,346,9,33.77785237440368,1401,38,
Fat bottleneck,LazyPRM,13,1,0.029737800010479987,21,7,45.83442200081289,643,30,
Fat bottleneck,LazyPRM,14,1,0.024076400004560128,31,6,38.819359380456255,527,25,
Fat bottleneck,LazyPRM,15,1,0.04454709999845363,62,7,31.375529327328714,989,42,
Fat bottleneck,LazyPRM,16,1,0.3021221999952104,819,12,35.86914505924815,1602,42,
Fat bottleneck,LazyPRM,17,1,0.007561000005807728,11,4,28.414633768255072,199,6,
Fat bottleneck,LazyPRM,18,1,0.06886710002436303,192,9,38.701994003203396,1045,33,
