benchmark,setting,initial_roadmap_size,update_roadmap_size,k_nearest,run,success,planning_time,roadmap_nodes,error_type
Nested Trap,very_small,3,2,3,27,1,0.2842483000131324,771,
Nested Trap,very_small,3,2,3,28,1,0.1325160000124015,472,
Nested Trap,very_small,3,2,3,29,0,1.001712099998258,1788,
Nested Trap,very_small,3,2,3,30,1,0.033743000007234514,65,
Nested Trap,very_small,3,2,3,31,1,0.26816779997898266,765,
Nested Trap,very_small,3,2,3,32,1,0.18561529999715276,492,
Nested Trap,very_small,3,2,3,33,1,0.2914187000133097,863,
Nested Trap,very_small,3,2,3,34,1,0.12343959999270737,465,
Nested Trap,very_small,3,2,3,35,1,0.16543170000659302,612,
Nested Trap,very_small,3,2,3,36,1,0.4622070000041276,1286,
Nested Trap,very_small,3,2,3,37,1,0.3154846999968868,1002,
Nested Trap,very_small,3,2,3,38,1,0.07890809999662451,231,
Nested Trap,very_small,3,2,3,39,1,0.13013730000238866,397,
Nested Trap,very_small,3,2,3,40,1,0.03302490001078695,89,
Nested Trap,very_small,3,2,3,41,1,0.5102289000060409,1153,
Nested Trap,very_small,3,2,3,42,1,0.2753019999945536,738,
Nested Trap,very_small,3,2,3,43,0,1.0018003000004683,1815,
Nested Trap,very_small,3,2,3,44,1,0.4779034999955911,999,
Nested Trap,very_small,3,2,3,45,1,0.28101170001900755,883,
Nested Trap,very_small,3,2,3,46,1,0.06100810001953505,235,
Nested Trap,very_small,3,2,3,47,1,0.390394699992612,1068,
Nested Trap,very_small,3,2,3,48,1,0.28361929999664426,881,
Nested Trap,very_small,3,2,3,49,1,0.06934940000064671,192,
Nested Trap,small,5,3,4,0,1,0.03518790000816807,56,
Nested Trap,small,5,3,4,1,1,0.1212307000241708,453,
Nested Trap,small,5,3,4,2,1,0.08496430001105182,182,
Nested Trap,small,5,3,4,3,1,0.05217629999970086,36,
Nested Trap,small,5,3,4,4,1,0.05003230000147596,52,
Nested Trap,small,5,3,4,5,1,0.08285919998888858,239,
Nested Trap,small,5,3,4,6,1,0.01818949999869801,41,
Nested Trap,small,5,3,4,7,1,0.018117600004188716,18,
Nested Trap,small,5,3,4,8,1,0.10620900001958944,390,
Nested Trap,small,5,3,4,9,1,0.13032329999259673,577,
Nested Trap,small,5,3,4,10,1,0.11317379999672994,352,
Nested Trap,small,5,3,4,11,1,0.09308510000118986,383,
Nested Trap,small,5,3,4,12,1,0.031149800022831187,39,
Nested Trap,small,5,3,4,13,1,0.02358859998639673,27,
Nested Trap,small,5,3,4,14,1,0.06648119998862967,190,
Nested Trap,small,5,3,4,15,1,0.07148589999997057,231,
Nested Trap,small,5,3,4,16,1,0.07180350000271574,265,
Nested Trap,small,5,3,4,17,1,0.03620030000456609,75,
Nested Trap,small,5,3,4,18,1,0.1112522000039462,372,
Nested Trap,small,5,3,4,19,1,0.09862900001462549,308,
Nested Trap,small,5,3,4,20,1,0.07032140000956133,233,
Nested Trap,small,5,3,4,21,1,0.01781619997927919,17,
Nested Trap,small,5,3,4,22,1,0.04246430000057444,62,
Nested Trap,small,5,3,4,23,1,0.03470180000294931,50,
Nested Trap,small,5,3,4,24,1,0.1168253000068944,352,
Nested Trap,small,5,3,4,25,1,0.04912300000432879,95,
Nested Trap,small,5,3,4,26,1,0.05875180001021363,75,
Nested Trap,small,5,3,4,27,1,0.037963699985994026,68,
Nested Trap,small,5,3,4,28,1,0.09190030000172555,370,
Nested Trap,small,5,3,4,29,1,0.10225709999212995,323,
Nested Trap,small,5,3,4,30,1,0.04397530001006089,160,
